,CTGF,LMO4,ETV1,PCP4,CXCL14,NTNG2,NR4A2,CUX2,RELN,CALB1,B3GALT2,CBLN2,RXFP1,CDH24,GABRA5,CARTPT,OPRK1,RPRM,CACNA1E,FEZF2,HTR2C,PDE1A,VAT1L,GSG1L,C1QL2,MEF2C,ETV1,BHLHE22,SEMA3E,TRIB2,KCNIP2,KITLG,SLITRK1,SCN3B,KCNK2,SYNPR,CCK,FAM3C,ANXA1,FXYD6,RASGRF2,DKK3,RORB,TLE1,GPR6,TOX,PCDH17,POU3F1,BEND5,UNC5D,ATP2B4,CNR1,PCP4,TLE4,CRIM1,CPNE7,TLE4,PENK,SYT6,TH,BCL11B,SATB2,FOXP2,TBR1,CRYM,RAC3,PDYN,KCNA1,SNCG,SYT17,CARTPT,KCNH4,MFGE8,LXN,ADRA2A,AKR1C2,MARCKSL1,CYR61,AKR1C3,NEFH,LMO3,TMEM163,LGALS1,PRSS12,SCN4B,PLXND1,LHX2,COL6A1,NR4A3,GRIK4,SYT2,WFS1,INPP4B,OPN3,ID2,OMA1,IGFBP4,COL24A1,CUX1,FOXO1,S100A10,KCNIP2,KCNIP1,TLE3,SEMA3C,DTX4,MDGA1,SOX5,OTX1,SV2C,LIX1,PCDH20,TPBG,RGS8,IGSF11,LDB2,SYT10,NPY2R,CNTN6,DIAPH3,PPP1R1B,CRYM,SYT9
PASTE_DLPFCS,0.7348144054412842,0.959785521030426,0.8616861701011658,0.9339392781257629,0.9443035125732422,0.8382086157798767,0.7463726997375488,0.885857105255127,0.7937280535697937,0.9069936871528625,0.8579921722412109,0.9341440200805664,0.8130261898040771,0.5422127842903137,0.9251346588134766,0.8018393516540527,0.5527805685997009,0.7465367317199707,0.9052413105964661,0.7328925132751465,0.35561642050743103,0.8804271221160889,0.8144862055778503,0.79095858335495,0.8656643033027649,0.9591423869132996,0.8616861701011658,0.6299691796302795,0.733938992023468,0.843640148639679,0.9185283184051514,0.860666811466217,0.9185845851898193,0.9558805823326111,0.5376138687133789,0.928516685962677,0.9711974263191223,0.9533385634422302,0.7508782744407654,0.964566707611084,0.9246227145195007,0.9720168709754944,0.8818540573120117,0.888092577457428,0.7654621601104736,0.8200498223304749,0.8639737963676453,0.3480569124221802,0.8991525769233704,0.8433783650398254,0.9478633403778076,0.8611516952514648,0.9339392781257629,0.799443244934082,0.9169136881828308,0.795161247253418,0.799443244934082,0.6660687327384949,0.41298890113830566,0.0646863579750061,0.7534700036048889,0.9212319850921631,0.7104535102844238,0.9188070297241211,0.9531790614128113,0.8870351910591125,0.3633648157119751,0.8471088409423828,0.9460365772247314,0.8636603355407715,0.8018393516540527,0.8054351806640625,0.928500235080719,0.4923435151576996,0.7958388924598694,0.6857568621635437,0.8154646754264832,0.6271746754646301,0.6503036618232727,0.912270724773407,0.9636399149894714,0.8407738208770752,0.9597185254096985,0.6075509786605835,0.9203112721443176,0.8991520404815674,0.9005010724067688,0.8787547945976257,0.4846268594264984,0.7161233425140381,0.8231691718101501,0.908597469329834,0.7157535552978516,0.9055704474449158,0.9533111453056335,0.5408075451850891,0.9054367542266846,0.514500617980957,0.9220312237739563,0.6977292895317078,0.8077600002288818,0.9185283184051514,0.7759153246879578,0.8698634505271912,0.7452753186225891,0.8695256114006042,0.6117702722549438,0.6774117946624756,0.33645686507225037,0.7263734340667725,0.6338005661964417,0.3781715929508209,0.8957096934318542,0.6251987814903259,0.827106237411499,0.9347476363182068,0.3191424310207367,0.3885999619960785,0.6279147267341614,0.21308517456054688,0.9492666125297546,0.9531790614128113,0.5540377497673035
PASTE_p0_DLPFCS,0.6824817657470703,0.7802788615226746,0.7568497061729431,0.6681589484214783,0.7822263240814209,0.7785320281982422,0.70428067445755,0.5928292274475098,0.5792629718780518,0.6033792495727539,0.7844459414482117,0.717380702495575,0.7423527240753174,0.5825710296630859,0.8004969954490662,0.5564301013946533,0.4900614321231842,0.7127946019172668,0.7522172927856445,0.6073692440986633,0.31065019965171814,0.7796616554260254,0.7187030911445618,0.689325749874115,0.6138042211532593,0.7629284858703613,0.7568497061729431,0.42518165707588196,0.6666515469551086,0.7308536171913147,0.6697816848754883,0.6886837482452393,0.7955988049507141,0.8490503430366516,0.5448446273803711,0.7794239521026611,0.7833407521247864,0.793260395526886,0.6842461228370667,0.8390383720397949,0.7139685750007629,0.847619354724884,0.6710247993469238,0.7233421802520752,0.49366235733032227,0.7088193893432617,0.7893257737159729,0.23444586992263794,0.7235226631164551,0.6382693648338318,0.8335134387016296,0.6785896420478821,0.6681589484214783,0.7746493220329285,0.8075944781303406,0.7562413811683655,0.7746493220329285,0.4100029468536377,0.3506462872028351,0.0,0.6687930226325989,0.7545993328094482,0.6474536061286926,0.8118364214897156,0.7411348223686218,0.7296290993690491,0.27373260259628296,0.7273697257041931,0.7433838248252869,0.6925159096717834,0.5564301013946533,0.6037792563438416,0.7347137331962585,0.3969390392303467,0.6972039341926575,0.4888816177845001,0.7351205945014954,0.6434884667396545,0.653589129447937,0.6432600617408752,0.8524744510650635,0.6371553540229797,0.8306930661201477,0.5229119062423706,0.7448045611381531,0.7866640686988831,0.7521538734436035,0.7793149948120117,0.5217434763908386,0.6511168479919434,0.5817343592643738,0.832467257976532,0.683293342590332,0.7341234087944031,0.8669399619102478,0.4726923406124115,0.8646309971809387,0.4326382875442505,0.8292264342308044,0.6910393834114075,0.7660208344459534,0.6697816848754883,0.6641550064086914,0.7767844796180725,0.740805447101593,0.7530311942100525,0.5429549813270569,0.5638110041618347,0.33157479763031006,0.5388588309288025,0.6318231225013733,0.19909995794296265,0.6563841700553894,0.5223684310913086,0.7695183157920837,0.749087393283844,0.14432662725448608,0.33729609847068787,0.5507046580314636,0.37705013155937195,0.84989994764328,0.7411348223686218,0.5325493216514587
PASTE2_DLPFCS,0.8313713669776917,0.9794301390647888,0.9062914252281189,0.980684220790863,0.9574141502380371,0.8817911148071289,0.8298279643058777,0.934978187084198,0.829870879650116,0.9312806129455566,0.9122245907783508,0.9425005912780762,0.8955404162406921,0.6642535328865051,0.9583284854888916,0.8530307412147522,0.6442492604255676,0.8678755164146423,0.9199263453483582,0.8323041796684265,0.47596684098243713,0.9192633628845215,0.8886728286743164,0.845090389251709,0.8950969576835632,0.9794909358024597,0.9062914252281189,0.6741673946380615,0.8636817932128906,0.8906503319740295,0.9234665036201477,0.8874643445014954,0.9409952163696289,0.975380003452301,0.5651413202285767,0.9536199569702148,0.9839844703674316,0.9684507250785828,0.8389126658439636,0.9813744425773621,0.944119930267334,0.9856088757514954,0.9551387429237366,0.9107250571250916,0.8323339819908142,0.8936478495597839,0.9060561060905457,0.4166558086872101,0.9063243865966797,0.877415120601654,0.9506279826164246,0.895721435546875,0.980684220790863,0.919044017791748,0.933968722820282,0.8787620663642883,0.919044017791748,0.7334449291229248,0.47365811467170715,0.2342878133058548,0.7563006281852722,0.9343026280403137,0.808492124080658,0.9506916999816895,0.9660887718200684,0.9072257876396179,0.34967494010925293,0.8962926268577576,0.9720597267150879,0.8827457427978516,0.8530307412147522,0.8176314830780029,0.9508921504020691,0.5104467272758484,0.8035514950752258,0.6564361453056335,0.9666445851325989,0.6826022267341614,0.7548635601997375,0.947241485118866,0.9732603430747986,0.8368730545043945,0.9761192798614502,0.49627169966697693,0.9363334774971008,0.9081759452819824,0.9171991944313049,0.9169484972953796,0.5775323510169983,0.7337183952331543,0.8760257363319397,0.9266220927238464,0.7151851654052734,0.9395118355751038,0.9599783420562744,0.5569936633110046,0.9229859709739685,0.6361905932426453,0.9250134825706482,0.7239400744438171,0.9093289375305176,0.9234665036201477,0.8183081746101379,0.8898534178733826,0.8243841528892517,0.8563225865364075,0.6510787010192871,0.6556717753410339,0.2924472391605377,0.7552614212036133,0.7079064249992371,0.3992116451263428,0.8939279913902283,0.637495756149292,0.841712474822998,0.9550483226776123,0.307876855134964,0.4882318675518036,0.7539799213409424,0.2462136298418045,0.9538220763206482,0.9660887718200684,0.7038633227348328
STAligner_DLPFCS_landmark0,0.8565192222595215,0.9867307543754578,0.8535599708557129,0.9442660212516785,0.9473080039024353,0.8699951767921448,0.7231435775756836,0.8750297427177429,0.6976680755615234,0.8969948887825012,0.9263507723808289,0.9245317578315735,0.8487676978111267,0.6487115621566772,0.9402161240577698,0.8417634963989258,0.5845102667808533,0.8431940078735352,0.9034597277641296,0.7804517149925232,0.4561305344104767,0.9019672870635986,0.8574621081352234,0.7554495930671692,0.7735509872436523,0.9859084486961365,0.8535599708557129,0.6588881611824036,0.8617777228355408,0.824356734752655,0.8874762058258057,0.8600680828094482,0.9110779762268066,0.9761191010475159,0.6098510026931763,0.951559841632843,0.9938721060752869,0.9700649380683899,0.7698430418968201,0.9893119931221008,0.9217137694358826,0.9928047060966492,0.911167323589325,0.8676915764808655,0.7392516136169434,0.8323206305503845,0.8982382416725159,0.41089963912963867,0.8877744674682617,0.8089420795440674,0.9571343064308167,0.894540548324585,0.9442660212516785,0.9150331616401672,0.9269725680351257,0.8248112201690674,0.9150331616401672,0.7218237519264221,0.43833041191101074,0.17178048193454742,0.7369859218597412,0.9370264410972595,0.7359516620635986,0.9509195685386658,0.9662653803825378,0.8881192207336426,0.2623768150806427,0.858656108379364,0.9713972210884094,0.830098569393158,0.8417634963989258,0.7147126197814941,0.9374575614929199,0.3438684940338135,0.7964218258857727,0.6107491850852966,0.97328782081604,0.7637502551078796,0.6982157826423645,0.9349986910820007,0.9799121022224426,0.8508495688438416,0.9813804626464844,0.539843738079071,0.9136826395988464,0.9001836776733398,0.8966805934906006,0.9057424664497375,0.6355304718017578,0.6889982223510742,0.8274192810058594,0.919121265411377,0.7128055095672607,0.9241988658905029,0.9677386283874512,0.49942460656166077,0.8883937001228333,0.5543334484100342,0.9124694466590881,0.6798520088195801,0.8713743090629578,0.8874762058258057,0.8339405655860901,0.8263390064239502,0.787581741809845,0.8647453784942627,0.6318349242210388,0.5553901195526123,0.25289520621299744,0.659562885761261,0.6554359793663025,0.34161850810050964,0.8914523124694824,0.5675200819969177,0.8276107907295227,0.9515454173088074,0.35898587107658386,0.3129720389842987,0.6582449674606323,0.4205714762210846,0.9511197209358215,0.9662653803825378,0.6711750030517578
STAligner_DLPFCS_landmark1,0.8451277613639832,0.9889128804206848,0.8739776611328125,0.9666326642036438,0.9554665684700012,0.8854497075080872,0.7503077983856201,0.907553493976593,0.7854703068733215,0.897174060344696,0.9427034258842468,0.9329817891120911,0.8484794497489929,0.5905038714408875,0.9438705444335938,0.8791525959968567,0.611146867275238,0.8467249274253845,0.9282073974609375,0.8133485317230225,0.48204514384269714,0.915431022644043,0.8455414175987244,0.815403401851654,0.8339636325836182,0.9834257960319519,0.8739776611328125,0.6944745182991028,0.8757116198539734,0.8280768394470215,0.8994948267936707,0.8724945187568665,0.9354552626609802,0.9764702916145325,0.6029374599456787,0.953321635723114,0.9944641590118408,0.9686587452888489,0.7494499087333679,0.9898080825805664,0.9296604990959167,0.992051362991333,0.9083028435707092,0.8718059659004211,0.7599193453788757,0.8437708020210266,0.9055454134941101,0.36589083075523376,0.8593640923500061,0.839788019657135,0.9502577781677246,0.9060450196266174,0.9666326642036438,0.9147205352783203,0.9247568249702454,0.8755862712860107,0.9147205352783203,0.778674304485321,0.448938250541687,0.07953722029924393,0.7278954982757568,0.9438417553901672,0.7451434135437012,0.9539219737052917,0.9682281017303467,0.8734247088432312,0.2775333821773529,0.8646459579467773,0.9747002720832825,0.8546972274780273,0.8791525959968567,0.7593410015106201,0.9368880391120911,0.34277987480163574,0.7469708323478699,0.5683231949806213,0.9739454388618469,0.6516351699829102,0.6933441758155823,0.9514506459236145,0.9814059138298035,0.8580085635185242,0.9822455048561096,0.5014647841453552,0.9275798797607422,0.8989459872245789,0.9219333529472351,0.9306218028068542,0.5307984948158264,0.7021213173866272,0.8704120516777039,0.8884978294372559,0.6740047931671143,0.9267935156822205,0.9656949043273926,0.5434480309486389,0.911808431148529,0.5453597903251648,0.9216616749763489,0.7346367239952087,0.9055238366127014,0.8994948267936707,0.8100884556770325,0.8735858798027039,0.7809601426124573,0.8539454340934753,0.640346348285675,0.591848611831665,0.2594245374202728,0.7355119585990906,0.7338011860847473,0.38213905692100525,0.9050347208976746,0.5877942442893982,0.799724280834198,0.9576937556266785,0.1131325364112854,0.4541263282299042,0.6591436266899109,0.34996965527534485,0.9604611396789551,0.9682281017303467,0.6811220645904541
STAligner_DLPFCS_landmark2,0.816566526889801,0.9860561490058899,0.8815546631813049,0.956312894821167,0.9390823245048523,0.8761809468269348,0.8099246025085449,0.9033542275428772,0.7405750155448914,0.9148672223091125,0.914860188961029,0.9337148070335388,0.8637555241584778,0.5819833278656006,0.9440813660621643,0.887705385684967,0.6381623148918152,0.8362916111946106,0.9141362309455872,0.786165177822113,0.5633885264396667,0.9135467410087585,0.8628153204917908,0.8061420917510986,0.8226320147514343,0.9822919964790344,0.8815546631813049,0.6644675731658936,0.8660154342651367,0.878898561000824,0.895197868347168,0.8324921727180481,0.9184325337409973,0.9702969193458557,0.5317971110343933,0.9469339847564697,0.9938815236091614,0.9754660725593567,0.7341298460960388,0.9880285263061523,0.9319198727607727,0.9931010603904724,0.9355505108833313,0.8873999118804932,0.7667765617370605,0.8554341197013855,0.9035349488258362,0.3763117790222168,0.9055404663085938,0.8425617814064026,0.9562156796455383,0.9276394248008728,0.956312894821167,0.9355437159538269,0.9243358969688416,0.845745325088501,0.9355437159538269,0.7390308380126953,0.4483961760997772,0.16926001012325287,0.7550882697105408,0.9249579310417175,0.8106366991996765,0.9587221145629883,0.9641461968421936,0.8670165538787842,0.3842341899871826,0.8867185115814209,0.9732597470283508,0.8584117889404297,0.887705385684967,0.741584300994873,0.9385309219360352,0.4428239166736603,0.7867729067802429,0.5798423886299133,0.9805030822753906,0.7087607383728027,0.6810126900672913,0.9361028671264648,0.9810943603515625,0.8476330637931824,0.9790916442871094,0.5402660965919495,0.9136170744895935,0.9034706950187683,0.9227210879325867,0.9234328269958496,0.6122260689735413,0.7629478573799133,0.8154905438423157,0.9189708828926086,0.6529517769813538,0.933598518371582,0.9672455787658691,0.5474979877471924,0.9081408977508545,0.5458490252494812,0.9234576225280762,0.7121642231941223,0.9015335440635681,0.895197868347168,0.8054648041725159,0.8513281941413879,0.7977030873298645,0.8358795046806335,0.690940797328949,0.6014139652252197,0.2714424729347229,0.6930850148200989,0.723794162273407,0.3316219449043274,0.9054772257804871,0.4593111574649811,0.8056635856628418,0.9497559666633606,0.2020484358072281,0.3577488958835602,0.6450117230415344,0.41287580132484436,0.9636409878730774,0.9641461968421936,0.6868082880973816
STAligner_DLPFCS_landmark3,0.824913501739502,0.9856883883476257,0.8416231274604797,0.9397876262664795,0.9297063946723938,0.8649963736534119,0.7957773804664612,0.8869989514350891,0.7156578898429871,0.8864376544952393,0.900822639465332,0.9302874207496643,0.8438642621040344,0.5899011492729187,0.9353587627410889,0.8730302453041077,0.630584180355072,0.81341552734375,0.9059052467346191,0.7308447957038879,0.39584437012672424,0.8729774355888367,0.8560612201690674,0.7512339949607849,0.816044807434082,0.977207362651825,0.8416231274604797,0.6202466487884521,0.8692107796669006,0.8456318378448486,0.8877763748168945,0.8372211456298828,0.9105456471443176,0.972649335861206,0.5690138339996338,0.9493295550346375,0.9945380091667175,0.9618613123893738,0.7266458868980408,0.988399088382721,0.9213402271270752,0.992956817150116,0.8984039425849915,0.8773760199546814,0.7231109738349915,0.8294956088066101,0.8953198790550232,0.30902910232543945,0.8746590614318848,0.8520386815071106,0.943692147731781,0.9044411778450012,0.9397876262664795,0.9111618995666504,0.9041926860809326,0.8312980532646179,0.9111618995666504,0.7126830220222473,0.4976119101047516,0.06343395262956619,0.7185332179069519,0.9204199910163879,0.7177731394767761,0.9376419186592102,0.9606673121452332,0.8712684512138367,0.3115449547767639,0.8636913299560547,0.9665514826774597,0.8205220699310303,0.8730302453041077,0.749734103679657,0.931962788105011,0.42035725712776184,0.8056650161743164,0.5441151857376099,0.9826045036315918,0.6437768936157227,0.6784265041351318,0.9152376651763916,0.9762479662895203,0.8302513957023621,0.9780145287513733,0.46660247445106506,0.885068416595459,0.9014778137207031,0.9071884155273438,0.8708371520042419,0.5634633898735046,0.7556624412536621,0.7847496867179871,0.8990638852119446,0.7185909152030945,0.9046581387519836,0.9642803072929382,0.44900813698768616,0.8856884837150574,0.5630070567131042,0.900809109210968,0.6817386150360107,0.8753282427787781,0.8877763748168945,0.7911456227302551,0.8476584553718567,0.775270402431488,0.8089708685874939,0.6306590437889099,0.6246328949928284,0.27833494544029236,0.685060977935791,0.7160750031471252,0.3849128782749176,0.8718893527984619,0.5039162039756775,0.8134996294975281,0.9369679093360901,0.17502491176128387,0.39838922023773193,0.6795473694801331,0.3915213346481323,0.9563172459602356,0.9606673121452332,0.654217541217804
SLAT_DLPFCS,0.6675394177436829,0.8548886775970459,0.7596939206123352,0.7859572768211365,0.857494592666626,0.7932963967323303,0.6175742149353027,0.79159015417099,0.734454333782196,0.7454738020896912,0.7728660106658936,0.7922645211219788,0.7425680160522461,0.477791428565979,0.793857991695404,0.7072820663452148,0.4656245708465576,0.7235371470451355,0.7955970764160156,0.6793901324272156,0.2860645353794098,0.7756092548370361,0.7228793501853943,0.6938633918762207,0.7136357426643372,0.8444975018501282,0.7596939206123352,0.5678251385688782,0.6958582401275635,0.7539694309234619,0.7393445372581482,0.7420204281806946,0.7878968715667725,0.843291699886322,0.49511751532554626,0.8008038401603699,0.858416736125946,0.8364493250846863,0.6522520184516907,0.8701316714286804,0.8062179088592529,0.8660905361175537,0.767381489276886,0.8025327324867249,0.6379209160804749,0.7138583064079285,0.7501146197319031,0.2291467934846878,0.7688152194023132,0.7180280685424805,0.8301864266395569,0.7251444458961487,0.7859572768211365,0.776249885559082,0.811016857624054,0.7243900299072266,0.776249885559082,0.5431280136108398,0.3634207248687744,0.0882006585597992,0.6830522418022156,0.818856954574585,0.6191535592079163,0.8082637786865234,0.8225533366203308,0.7725229859352112,0.3027479350566864,0.748004138469696,0.8334200978279114,0.743730366230011,0.7072820663452148,0.6533096432685852,0.8111886978149414,0.32418951392173767,0.686244010925293,0.4830615520477295,0.8266323208808899,0.6536800861358643,0.6095918416976929,0.7440788149833679,0.8638743758201599,0.7190499305725098,0.8559474945068359,0.41981327533721924,0.7975056171417236,0.7743788361549377,0.8076457977294922,0.7479691505432129,0.46543586254119873,0.6280580759048462,0.6818031668663025,0.8120861649513245,0.620050847530365,0.8029701113700867,0.8504493832588196,0.46023645997047424,0.8102549910545349,0.42759308218955994,0.8295371532440186,0.6465281248092651,0.7598063349723816,0.7393445372581482,0.6903505325317383,0.7646493315696716,0.656169056892395,0.7783994674682617,0.5696790814399719,0.5918541550636292,0.3593311011791229,0.6104831099510193,0.6213850975036621,0.2640891969203949,0.7564522624015808,0.5153992176055908,0.7236307263374329,0.8091421127319336,0.12911711633205414,0.3068036139011383,0.574314534664154,0.21455399692058563,0.8575398325920105,0.8225533366203308,0.4818466007709503
STalign_DLPFCS,0.24866487582524618,0.25722742080688477,0.1683590610822042,0.13785165548324585,0.22968679666519165,0.1967675487200419,0.08281586567560832,0.21901504198710123,0.1468974451224009,0.2057703137397766,0.19971869389216104,0.26699825127919513,0.1323722004890442,0.14083860317866007,0.19805949926376343,0.13729406396547952,0.07714336613814037,0.22252198060353598,0.27247830231984455,0.10264748334884644,0.09056873122851054,0.20836530129114786,0.15028596917788187,0.19060667355855307,0.19836018482844034,0.2604064742724101,0.1683590610822042,0.05621310075124105,0.14094426234563193,0.20728633801142374,0.24891378482182822,0.23391644159952799,0.25489399830500287,0.2879234751065572,0.13584460814793906,0.2420166532198588,0.29032401243845624,0.2510220209757487,0.23596940437952676,0.2849210500717163,0.24472965796788534,0.2885056734085083,0.11852677663167317,0.24853803714116415,0.06591355800628662,0.14791112144788107,0.26027443011601764,0.036022767424583435,0.21334940195083618,0.1952816049257914,0.282889982064565,0.21669582525889078,0.13785165548324585,0.2568098107973735,0.23410431543986002,0.21879321336746216,0.2568098107973735,0.10782344142595927,0.08864359060923259,0.2207123041152954,0.21456895271937051,0.25182491540908813,0.11892663439114888,0.22061898310979208,0.2408235271771749,0.21615338325500488,0.019452841331561405,0.2386959989865621,0.21110773086547852,0.2032624085744222,0.13729406396547952,0.17130345106124878,0.2704733411471049,0.07474160194396973,0.20523754755655924,0.09149871269861858,0.28275124231974286,0.18546162048975626,0.1497982144355774,0.15873154004414877,0.2886456648508708,0.15801043311754862,0.27089818318684894,0.11812114715576172,0.2421142061551412,0.2568723162015279,0.24746066331863403,0.2698495388031006,0.14804625511169434,0.17284892002741495,0.10207668940226237,0.28615474700927734,0.13753910859425864,0.24623745679855347,0.2983754873275757,0.1650611956914266,0.27213265498479206,0.13724068800608316,0.2765129605929057,0.1293705701828003,0.22880955537160239,0.24891378482182822,0.22466800610224405,0.26494914293289185,0.2237045168876648,0.21904061237970987,0.1133662760257721,0.1271888017654419,0.09433627128601074,0.12708613276481628,0.1946930686632792,0.08894256750742595,0.2065868377685547,0.09265553951263428,0.23919359842936197,0.27175845702489215,0.0,0.04261311888694763,0.10706169406572978,0.0958306888739268,0.30017878611882526,0.2408235271771749,0.1463852326075236
CAST_DLPFCS,0.8389177918434143,0.9741637110710144,0.8963690400123596,0.9787821769714355,0.9379270672798157,0.8913597464561462,0.8361782431602478,0.9358735680580139,0.77113276720047,0.9183110594749451,0.9285054206848145,0.9420402646064758,0.8738998770713806,0.6881384253501892,0.9521198272705078,0.8342539668083191,0.6453183889389038,0.8470682501792908,0.9328446388244629,0.8532727360725403,0.5641147494316101,0.914669930934906,0.8480937480926514,0.8377062678337097,0.8675236105918884,0.9815524220466614,0.8963690400123596,0.6857652068138123,0.8591274619102478,0.8845071792602539,0.9138403534889221,0.8896715641021729,0.9435716271400452,0.9723842144012451,0.5917980670928955,0.9404223561286926,0.9813508987426758,0.9725391864776611,0.8337394595146179,0.9835687279701233,0.9421901106834412,0.9826591610908508,0.9444864392280579,0.9212819933891296,0.8021693825721741,0.9113786816596985,0.9016475081443787,0.41855064034461975,0.892865002155304,0.8470094203948975,0.9402825236320496,0.8940826058387756,0.9787821769714355,0.9172804951667786,0.9335539937019348,0.8770751953125,0.9172804951667786,0.8196164965629578,0.4077490568161011,0.2820686995983124,0.7300947308540344,0.9319666028022766,0.7764089703559875,0.9514930844306946,0.9641241431236267,0.881415843963623,0.30000975728034973,0.8702552318572998,0.9703932404518127,0.8915915489196777,0.8342539668083191,0.7973201870918274,0.9426582455635071,0.5133419632911682,0.7798510193824768,0.655106782913208,0.9678797125816345,0.7166741490364075,0.7358303070068359,0.9333735108375549,0.9752910733222961,0.8728911876678467,0.9751654267311096,0.5987913012504578,0.9328636527061462,0.9161388874053955,0.9143519401550293,0.914962112903595,0.5619549751281738,0.7437691688537598,0.8931249976158142,0.918029248714447,0.7318038940429688,0.9430022835731506,0.9595869183540344,0.5711501240730286,0.9144442677497864,0.6093196272850037,0.9235169291496277,0.6924402713775635,0.903264582157135,0.9138403534889221,0.8411023020744324,0.8936829566955566,0.8125293254852295,0.8606109619140625,0.6875458359718323,0.609687089920044,0.3185296058654785,0.7512057423591614,0.7392335534095764,0.4608885943889618,0.9063265919685364,0.4827200472354889,0.8503783345222473,0.954278290271759,0.14382292330265045,0.5187284350395203,0.7233497500419617,0.28642040491104126,0.9422704577445984,0.9641241431236267,0.6660342812538147
