,CTGF,LMO4,ETV1,PCP4,CXCL14,NTNG2,NR4A2,CUX2,RELN,CALB1,B3GALT2,CBLN2,RXFP1,CDH24,GABRA5,CARTPT,OPRK1,RPRM,CACNA1E,FEZF2,HTR2C,PDE1A,VAT1L,GSG1L,C1QL2,MEF2C,ETV1,BHLHE22,SEMA3E,TRIB2,KCNIP2,KITLG,SLITRK1,SCN3B,KCNK2,SYNPR,CCK,FAM3C,ANXA1,FXYD6,RASGRF2,DKK3,RORB,TLE1,GPR6,TOX,PCDH17,POU3F1,BEND5,UNC5D,ATP2B4,CNR1,PCP4,TLE4,CRIM1,CPNE7,TLE4,PENK,SYT6,TH,BCL11B,SATB2,FOXP2,TBR1,CRYM,RAC3,PDYN,KCNA1,SNCG,SYT17,CARTPT,KCNH4,MFGE8,LXN,ADRA2A,AKR1C2,MARCKSL1,CYR61,AKR1C3,NEFH,LMO3,TMEM163,LGALS1,PRSS12,SCN4B,PLXND1,LHX2,COL6A1,NR4A3,GRIK4,SYT2,WFS1,INPP4B,OPN3,ID2,OMA1,IGFBP4,COL24A1,CUX1,FOXO1,S100A10,KCNIP2,KCNIP1,TLE3,SEMA3C,DTX4,MDGA1,SOX5,OTX1,SV2C,LIX1,PCDH20,TPBG,RGS8,IGSF11,LDB2,SYT10,NPY2R,CNTN6,DIAPH3,PPP1R1B,CRYM,SYT9
PASTE_DLPFCS,0.15742466637309974,0.7206616562459955,0.2567260902448985,0.7430602681634304,0.4993269836622236,0.1413221914126339,0.13818222945589373,0.6174918712321776,0.19819718177469867,0.5543598836344984,0.28360204237884074,0.4788437153091252,0.19029921568789984,0.03990920029311903,0.38855306263563677,0.503090383248089,0.002633376329538084,0.08941277715995621,0.24147156983969284,0.1346111688606276,0.042903067592783874,0.23669088191776222,0.1854197563418302,0.12236098132839561,0.19984951092941014,0.8878369560482325,0.25173248596558,0.0941871225063647,0.15428701225939875,0.22024206754180117,0.3413451673998913,0.19019352322376,0.27381805127909004,0.3881135539671326,0.0801121026803373,0.36824667306868236,0.919208102482321,0.5912669386967039,0.10424512187639594,0.600152681628329,0.38202443153763027,0.7239232826660135,0.4417334024849273,0.1907709647489503,0.22250870947522486,0.17128557841149764,0.2466209438970366,0.07817678878969787,0.29441262801957063,0.19936450922482804,0.31107806833376445,0.24697712342624945,0.7424619775651397,0.2400706041486386,0.29060254167872657,0.12336263639308213,0.24084635617439107,0.16609761095679065,0.022971873511753522,0.03584493464404185,0.1064481301601606,0.33350209896177435,0.07565563109275979,0.3735337929158134,0.6839042762036803,0.2703384758460287,0.004391072440732409,0.1602942785331535,0.6947465347727424,0.15363660701741275,0.49740702570744366,0.14593897555892976,0.5725038249832083,0.07096526160537946,0.0609489935062603,0.12890110504863075,0.6463504508789978,0.1186655850870449,0.08716130233181267,0.5809524918939935,0.46906501236739356,0.28570004689720435,0.6079076737575618,0.09684115125277248,0.33040135734598736,0.3040073331691217,0.3147024430754313,0.2760078689321861,0.06679228982384873,0.08492153522338637,0.26690620309304514,0.1318388210835811,0.06883833923817839,0.36908300936035693,0.43183075379826513,0.04219937569972595,0.13799659665850403,0.030866418447955606,0.19472705502094664,0.0846202912979012,0.21020790255689503,0.3407185452914037,0.1329322204160852,0.14023488232195827,0.07404832067443208,0.14571057061068662,0.10846562814053895,0.07525152033451714,0.02574087539689973,0.052989021121471115,0.1001644104602956,0.06582929786705212,0.44189367690512754,0.10901314343243336,0.10553001848548238,0.5511339035662391,0.025258180602032,0.050874162979380376,0.022063493797827682,0.06501385977752767,0.24517146687638128,0.6819710242704283,0.09422045200348232
PASTE_p0_DLPFCS,0.12886045009263705,0.4419241268807248,0.1426420051214512,0.48830775573025514,0.18497304407869075,0.09887470041257777,0.15245489716512214,0.28526458967768925,0.1799033339548224,0.33318707885282645,0.22978122709798177,0.20157632593316924,0.13580131483151447,0.07247729228993179,0.3170961141462483,0.3072541678277713,0.11585587747133837,0.08603576482462187,0.20100201438103507,0.10930944643581109,0.026489838035440066,0.1570570038707495,0.07201405750759848,0.10832176875840016,0.17038118801603552,0.4558878973764484,0.14737673002086416,0.05245803681895304,0.21692816553304187,0.060972338279611606,0.17778596230592347,0.16060019544716964,0.21526015903908627,0.3432089814175092,0.06514934371487972,0.2944802086934109,0.5179368613540983,0.37210969862130944,0.132288474540466,0.4250742895114339,0.19178960575456502,0.418313730987023,0.331199060910125,0.20991299548462314,0.23934630534619336,0.08461182855228937,0.10330800529780519,0.020355469852695023,0.24468739141335258,0.2290592340506056,0.14081820686134958,0.14996545022608565,0.48830775573025514,0.13720147300292673,0.1819086541392864,0.03724515126535651,0.13649488408606306,0.1303653565068695,0.08511667610293043,0.06087588422080037,0.06589475810161567,0.28320140876622196,0.10410473624260878,0.29525041777163885,0.41489116626104544,0.0993465650519781,0.025950210678855463,0.20277249596118052,0.4679901173580519,0.14475527569002308,0.308062373253897,0.1641064018848392,0.20450814670827291,0.10129863254276279,0.10033247893354587,0.1766815970935475,0.43728524390264134,0.10101092536739713,0.0051346606747745644,0.3088277347335618,0.28757424159467887,0.06277986979124812,0.28770210570790516,0.10752517949657021,0.2066419531868172,0.15809201600159847,0.2548009330851775,0.08490667853253564,0.06952935223925276,0.03390340829860161,0.09268775993705762,0.04142664374640533,0.022427544787936664,0.2620704885114519,0.20125685474018487,0.021064415339558867,0.1332685572181306,0.10993589604776055,0.08874630901828473,0.1291916312521296,0.12827089024420055,0.17726151238145307,0.08790876452177043,0.13759155238675236,0.11577927450180055,0.1389645931828055,0.12775733364382433,0.04729232034806271,0.016058134186842654,0.10749799797949411,0.1982933848708289,0.15798055558214483,0.2451009016549568,0.06447924300219136,0.08410373381110474,0.31927009560281344,0.015749823050551576,0.04968377212926356,0.11178772859758353,0.01583192696893443,0.1732101614894055,0.4164962906340269,0.08482218025394979
PASTE2_DLPFCS,0.12781378316474937,0.9656235889764186,0.2947677298184255,0.9961511370397291,0.6519222255768437,0.26551097883477537,0.20298564288220508,0.7456024027149324,0.21897181420046863,0.7327107494053405,0.5162436058647764,0.4409008274286479,0.39900303740882953,0.05137955150653214,0.6142828422473711,0.6050295329448394,0.11897909194853866,0.292755436055175,0.21892838056966232,0.3203127198411148,0.07302227118789162,0.30353445419277564,0.28240232881298066,0.1620830680458273,0.40666887809486746,0.9958478330621228,0.2900470669837973,0.10025675060752966,0.36525619127908265,0.21787806433522286,0.2934631675836177,0.2834133813031759,0.39480352179774386,0.6169064886165577,0.14189108227344857,0.6078208041215296,1.1351720029500898,0.8106678084593958,0.21426837089753992,0.7983197290971815,0.5281781039206868,0.8722126912638027,0.7463463257382889,0.4166999425394011,0.4123996920668483,0.44026511365568216,0.29721348096066363,0.06828867297053758,0.39382929506825864,0.270543005219584,0.3252262815828579,0.4062701181424055,0.9972279042579159,0.4111307323473213,0.3652427816469552,0.14254073081158625,0.41083176239660374,0.3153037894675519,0.08964648600458587,0.05198823751948304,0.061430091543070255,0.47175541966793294,0.31058060962514517,0.5876623072316932,0.7801087166879715,0.37703168334453546,0.07268305256104846,0.3101813269321941,0.966450138658697,0.07772634940583971,0.6022175951311359,0.2008256617369241,0.6437796391702353,0.06981084517609186,0.0755139842405274,0.10261730581162443,0.7880798381373572,0.02173693638708407,0.14136310939784322,0.9216298295673577,0.6224850540650152,0.239638011946859,0.7090434277754061,0.10893635913736881,0.4349181223048347,0.1284011824459066,0.33107835496385496,0.3405803788131386,0.1086590393607693,0.06469801593299011,0.46621858752748,0.16346050807754034,0.11638064327063757,0.5099926256655424,0.4059800718881526,0.04898135228966686,0.1565386366940138,0.06425539933481901,0.20739252180448098,0.06614708742587998,0.314409668421181,0.2894648877624058,0.16887834673520233,0.2599404407511779,0.2547873736041774,0.20277958031937496,0.07903234843919771,0.07295399140047569,0.04772974968642115,0.15067186292930282,0.06237709121166842,0.12234636655682755,0.49367740988135295,0.0599180734362319,0.11634020151878532,0.5775917503121728,0.033294412791982975,0.06897830691663298,0.17239279545263417,0.05789517809981352,0.3465068600612174,0.781221406081911,0.16990846341355295
STAligner_DLPFCS_landmark0,0.21543506941714533,0.4066541638552367,0.1837342199612575,0.49283922698758875,0.3192843577885607,0.08925830168142863,0.07836426256767244,0.3677264180817062,0.10958544953546594,0.38818745128193893,0.357605624220043,0.2180070469340638,0.19223867278783816,0.03871050347131,0.28071832358704274,0.3611803779421841,0.02047209780122546,0.1860420936065029,0.09298126931847668,0.18447556446975324,0.04209734890699446,0.20608479565991455,0.15430401245827538,0.0190390076158448,0.1684111501772739,0.5522664137254827,0.1837342199612575,0.11956823462155193,0.33181771493733275,0.06771567969653274,0.2227863155936364,0.09524342449726635,0.09787330890220947,0.19984697101867552,0.03791435926795117,0.2296968535636692,0.48698129779566174,0.2219797040722334,0.1053763273316443,0.2977451652804821,0.16007556197027295,0.23022760689654106,0.3593043387937402,0.010458783379579875,0.11896250625462201,0.2782728767631917,0.11708991868366929,0.0,0.15699470283637082,0.07431414431501941,0.06537354481050232,0.21534403571576247,0.49283922698758875,0.20847681867356269,0.06197564904996892,0.020528015647015785,0.20847681867356269,0.1146536999171482,0.030844749530292148,0.00033724767440486875,0.0,0.30905283588336036,0.17572993818543203,0.2941957860134381,0.36204398389386167,0.12726643378465038,0.04598641820526783,0.08121426574504771,0.5416146344335834,0.008578341103926116,0.3592791535364226,0.06035112558540382,0.21348567466693572,0.0,0.023223065640917657,0.03831640912805323,0.2846028422240452,0.09252325632393991,0.0609541811776273,0.47740456901062167,0.23123220937916442,0.09443302952399124,0.2592395633066869,0.029609922327874145,0.12416529945378614,0.03663462220154982,0.10641597690854769,0.06718631025175965,0.03573842961964709,0.03786637039796684,0.30586083962560967,0.002447168449045171,0.025054829536808338,0.273705810116508,0.05358641643877279,0.072346426687712,0.0030018078896175324,0.07713276140412084,0.009663426879418235,0.01049300675268657,0.0341777266042711,0.2227863155936364,0.0524037299308997,0.01292147826749653,0.012339590903155026,0.1613045503704118,0.0,0.030843987324959226,0.028912801347652284,0.02979098622014457,0.10027913762757586,0.08807109178124255,0.2881214391725882,0.0895774124830228,0.023942196658515897,0.28635841195717243,0.0,0.0,0.0004352937025301114,0.11568991459248501,0.07053670643364478,0.36204398389386167,0.060365317904558825
STAligner_DLPFCS_landmark1,0.2849551587080949,0.5210463341219417,0.22438840338853053,0.6803780745111738,0.2655908453592703,0.1900361081969685,0.2064698847504419,0.4733720453630565,0.16325078448263572,0.3674181120275762,0.4085111998536064,0.29737792632065263,0.20846736662098472,0.022291898217783917,0.29965496146347076,0.41513844775922343,0.021190983216335574,0.22625840872161782,0.16343402332633752,0.15293257111545508,0.005174259581369671,0.20976075955543014,0.15633146245986573,0.0002662780661257062,0.1827101566453703,0.6349593943128394,0.22438840338853053,0.21464339100690832,0.37024859031878243,0.009758231774779228,0.13802423403789263,0.19329398241679283,0.1196181854672771,0.11259023775925077,0.022672477025776832,0.25616662051016537,0.5390610863209164,0.30101795452152924,0.10444777538609513,0.2535408332265365,0.22562595534230775,0.31279179682933966,0.4084127026342766,0.03683272841148311,0.29628875576953845,0.10824575373527212,0.16583335624401987,0.00321113831105313,0.12130679827157238,0.27680723714107547,0.027858857883230836,0.1635943333964449,0.6803780745111738,0.3241727518811972,0.08374352328612684,0.08617019220353583,0.3241727518811972,0.15826332621996286,0.06157828601085461,0.039055840777579696,0.004465983259577626,0.31607420082818843,0.13969689586563616,0.37229783045142256,0.4323427011338083,0.07099718217689983,0.005175846322383955,0.07179537742797004,0.602677809233426,0.031155521595991626,0.4145593374270808,0.1394526932343636,0.18617102512889883,0.0,0.060975976488217544,0.0,0.3702999978235579,0.031900266703237236,0.03232510065962465,0.5199235390229742,0.2212428939331259,0.06272730905897832,0.3148695755127024,0.0027073590036496378,0.2973537463849089,0.029821163915059845,0.12068891802763115,0.09780113647270945,0.017942577494191852,0.05627345381021195,0.26660162764630274,0.016120663185152335,0.05685347133574196,0.33120075412206,0.05250011923215311,0.01830509624847032,0.03493330968416967,0.0038833462800596705,0.06442161437028664,0.12810945824941244,0.25150473011878144,0.1372171315358751,0.015340978619245771,0.01671056779674392,0.033462230404021596,0.04763450054881879,0.01418687485891601,0.04923920138167418,0.058777956639096164,0.06982623125880938,0.07562481285834617,0.016548630029789457,0.3050427905629302,0.08171734698738857,0.04952649827708674,0.39514682691796804,0.016755347010208272,0.08037004254109299,0.07497399229566855,0.05458757504786327,0.08558902089764597,0.4323427011338083,0.06680741877328271
STAligner_DLPFCS_landmark2,0.13886442352128783,0.4647970950567921,0.20179045930001793,0.6271725822527028,0.15603742796280518,0.1730639960654745,0.22849466208747357,0.5040990839637414,0.07146947579410057,0.4514161870969165,0.32421083259614214,0.2179195386489424,0.3185564557598399,0.03334305273147745,0.3128698812899698,0.45201969495098204,0.01802741501251622,0.08252449620145781,0.09038146165717025,0.18487107626510704,0.05574934451597032,0.19899192557267562,0.20449702342486553,0.13870696121421,0.28032502681295873,0.4740239918523277,0.20179045930001793,0.1480017117886024,0.3622181432447242,0.045005043092563035,0.10357706985392816,0.052857402743029525,0.07840618712841445,0.2627908504367042,0.07120642650756863,0.29775081777109813,0.5943434694466072,0.3908133647943326,0.0546712527613075,0.33203619026890757,0.21948373668587337,0.34063508078134824,0.5780887817588009,0.053056388736573666,0.25157146558743876,0.2437528383251132,0.20465447406674242,0.06020599660534135,0.2652516084823122,0.11173877807862453,0.13778106125246672,0.21873662908949218,0.6271725822527028,0.39677984304399283,0.008548156796610881,0.05785497710595999,0.39888712273747934,0.14278378413708337,0.02802169381576188,0.0,0.04953844114073883,0.20275157121024664,0.19890432264316674,0.45359900894456046,0.43028344564438453,0.1465095369210719,0.004712962759612231,0.05196861426590157,0.645329513920664,0.0,0.4488290909490189,0.14162816461546188,0.2638783229822179,0.041684355514488125,0.05130864874718263,0.04942838482610471,0.4763099462028408,0.0,0.06129292221175545,0.5221241069532544,0.18579903344039664,0.1374460063863907,0.2677180832956331,0.0986290831525339,0.21570312268473701,0.05376178596231451,0.07009486261893061,0.08925316768193954,0.09237912769553569,0.07555881795414161,0.12201321856519624,0.029287399768654687,0.04154015528475252,0.2557010663995361,0.10862080001253209,0.008441140687797777,0.14698075447775372,0.02916803730515764,0.030256649690284743,0.005913494825017758,0.1693959354557295,0.10357706985392816,0.09215045013295124,0.04354241921065786,0.06243536286794793,0.010433195009040089,0.05423482883639933,0.06318961513464227,0.046526972127350685,0.013509181021644187,0.08683259380098922,0.024711679445421925,0.2989378715573232,0.018958570959355974,0.02399718084418116,0.26692213278895105,0.06916808279488003,0.022881757957578113,0.03267001218292339,0.04584420420857086,0.0928181484460134,0.43028344564438453,0.01550280879658228
STAligner_DLPFCS_landmark3,0.09870822476355468,0.4186572024918644,0.18490851957403084,0.5626930154940926,0.291870329042015,0.09816308901180193,0.11892840741934323,0.42067059700210363,0.21989133680570574,0.3910276387229035,0.3193664593533289,0.27489761069933394,0.28156319531620816,0.010153037643830723,0.24802001718612798,0.5000418291168717,0.06776135182076892,0.18517015443217044,0.12655547917593926,0.2052708948874359,0.043386285689921124,0.061253513199412225,0.14936916522546984,0.004389107513080119,0.23028677878101242,0.4434575617084109,0.18490851957403084,0.11804968466152917,0.3097456213155943,0.08404185923251095,0.16052624662122086,0.11205995257028478,0.04125636932963076,0.1355348965405422,0.03802026850637589,0.2214350957806106,0.664725423999546,0.33215309221124834,0.04995237211067316,0.18584770001360354,0.23639120835373628,0.4143892367987119,0.45478651409739185,0.10125182544841345,0.20155036931867043,0.11258733663667231,0.1620272971046508,0.07158988814197083,0.19333508640186695,0.17896525260203747,0.13993647898006203,0.21952585275892314,0.5626930154940926,0.2946178319275548,0.046382681456334396,0.11705133648365533,0.2953488260796015,0.2311697422862903,0.0835304557571422,0.05645140896916626,0.02510484734234497,0.15905802317798878,0.17061691083135613,0.3592905017562769,0.5274310368773923,0.1273830727094114,0.011029986783277637,0.11347871671691252,0.6915316254617797,0.024909514846708152,0.5011495998113563,0.09648654885564116,0.24879488066375618,0.01858405517591673,0.0399862805829169,0.04684004727859895,0.5646776475771921,0.02211142612223978,0.045591477052486486,0.37532707706664653,0.10092116398402728,0.17731854408637515,0.2775181958966952,0.13200835927443233,0.021033408832636564,0.01589446083940412,0.0874111212140316,0.09255457730874268,0.019719194281867896,0.00395793220587833,0.20321166714009506,0.03703879745913138,0.026319200489435996,0.16385484445786794,0.07228520025064918,0.05443727005522107,0.0483756050413886,0.0066541218935653275,0.039012241238584565,0.08267356507842989,0.14308682110262336,0.16052624662122086,0.16424032804708957,0.058826961209702176,0.054261134764987805,0.04704242257770508,0.11087634905552586,0.015908871228328774,0.029258064712644877,0.029654351444877197,0.058106069133158,0.03226284289150453,0.2762734016967386,0.0687353394983079,0.033942995988610246,0.20263315422119765,0.01832483905334333,0.06977357276099398,0.009611228625842738,0.013495686089684137,0.08855525299273515,0.5274310368773923,0.0373773303251809
SLAT_DLPFCS,0.11450661124900814,0.36306159830929774,0.13973827578205014,0.3453107011717201,0.2175669180141432,0.08109182134432553,0.12690191786109914,0.37466588682414975,0.11612686019289109,0.4191480728983065,0.08893001994824967,0.18991490442809233,0.26688689840470153,0.06482489178601976,0.12563196106625693,0.4624976491419533,0.043213243390815524,0.09533290393425291,0.14631553104762762,0.1454535441794144,0.12758445016382267,0.1601077659055171,0.09747795843432927,0.08396781618792604,0.22768426408933987,0.409671090613716,0.13978125802009256,0.03790409628619118,0.19860339563296137,0.09479493991809725,0.08884020458836057,0.1457304499333163,0.13529365042039077,0.25540790102938543,0.04332177560985281,0.27736178569232256,0.3672519488943293,0.28293874595322865,0.15455329575156096,0.29648883851620234,0.2773554803551986,0.3236573516896484,0.2623385077590836,0.13559035696038624,0.18519130765921643,0.07534860522057452,0.18644959646737233,0.04471765163321795,0.12838345845633592,0.12189545830511994,0.1163206734230265,0.14164841993329672,0.34599995565437736,0.11978258371070982,0.1652265223377687,0.06288780820846052,0.11982259187698574,0.1881281202545456,0.07118375694678747,0.033053929745499776,0.15093199549134426,0.14496733675882245,0.06075780627178758,0.17242307935225978,0.19688234482174582,0.12008804022506474,0.06547213087649768,0.04915690863503682,0.34899099438565334,0.14363924280992046,0.45675486950722083,0.15834548483056002,0.2207222280554264,0.030614287974211063,0.029070912000742116,0.10086712239754814,0.3324104637893351,0.04345750242626245,0.07949116134469092,0.20118415014355406,0.16567152652079922,0.1394217215183565,0.17174565059122568,0.0948678235304558,0.1276541685222711,0.011828605159677874,0.15861160798102128,0.07166900181833687,0.07553637717116561,0.17122264415262625,0.18155030648747475,0.1328367281594467,0.025439890022366907,0.1297750050524337,0.1413615818476046,0.08592318226254865,0.08412379194981574,0.15160838389968578,0.03906419950478801,0.14203623164433932,0.2248361931844675,0.08658110152502996,0.08534278320858994,0.12208463299070231,0.05098751394727641,0.014343376964640608,0.0424940037459051,0.0666308506230983,0.06949543894537828,0.05155557594859254,0.0950400691256772,0.032470617073754315,0.25291832288022037,0.11168296626864709,0.08045578836362803,0.3228556107602185,0.01335544384715955,0.03165662534079964,0.07663742688922381,0.014504457829932852,0.13273778863399288,0.19778255058306268,0.101724387007838
STalign_DLPFCS,0.015608101160918153,0.008447400796331403,0.021851305375628478,0.0,0.02634940970112624,0.0,0.0,0.010439724973970499,0.0,0.0020851735292567084,0.044094526974460514,0.01593053000798757,0.006889347012763706,0.0,0.01822521546442335,0.03740155461738892,0.028336490767223815,0.014166630062550775,0.0060985426653591785,0.028270643036846604,0.02108198490426405,0.0,0.0,0.0,0.08238540535880423,0.012252771682018734,0.01926715491996071,0.03471805055453148,0.03282656773481548,0.0,0.0,0.01952657668303,0.021167542605924943,0.0,3.264868764526104e-05,0.01407747922275071,0.043226859384958516,0.0,0.0,0.029308989531357927,0.0,0.03967493914079956,0.060689413242013934,0.025107006278595634,0.04755720530727429,0.020776266411757078,0.0,0.012906108934028252,0.0,0.056845258925144616,0.0,0.0,0.0,0.002602064452359887,0.0,0.01935318688782095,0.009134420984716543,0.03002335014486383,0.03535939703285044,0.0,0.08025905134705817,0.0,0.03968783142336966,0.0,0.0,0.0,0.041414549102951614,0.021770521524656566,0.012407053397555176,0.0,0.03526646748230192,0.0,0.0,0.008272749773432212,0.0012916721113624223,0.0008333095237430163,0.0,0.01727945792503401,0.035777754770064174,0.002679481810013614,0.0,0.018066567576175085,0.0,0.027373015783951793,0.05986347101313072,0.03191938541894427,0.05023869939222007,0.0,0.03685120335562386,0.02279653422039137,0.0013489996538035658,0.025519443993114937,0.029288581886744176,0.02248958656516716,0.0,0.014371465697770258,0.043395035902855504,0.0,0.021238683260258167,0.0,0.0,0.00011343472504303047,0.003683079823249743,0.011285994038583583,0.0,0.04691855339329928,0.005011925024054342,0.025071419424235113,0.0,0.0025865909830370035,0.037718598089785026,0.0,0.0,0.0,0.0026653063318429204,0.020131504733400234,0.0091360175606822,0.0,0.027675364777495364,0.0,0.05775102471660842,0.0,0.036197865426384514
CAST_DLPFCS,0.1823052510072524,0.8501513568557093,0.3179050911878254,1.064737754291375,0.6055148671814151,0.20668734598197544,0.1883609777377965,0.6536670308009719,0.1596318426748454,0.5774274192267423,0.4900888138462049,0.5795310068221206,0.30258761589133726,0.021972716581173685,0.5353319803239699,0.5312718336140452,0.044129102401746646,0.2489361048845448,0.3818653975880529,0.17767730544147028,0.044118871997788224,0.3073085152023401,0.16084236472796606,0.16942670729211295,0.36654589969699175,1.0119049910183915,0.31550949827499125,0.16370585152287878,0.30076849155484203,0.18964193121601447,0.24732246181049744,0.28341013625574735,0.3498181108026183,0.5990309199685556,0.14284232514856976,0.5540539336577875,1.029034331141774,0.7784193245665456,0.1300420190784767,0.7752720728385625,0.4570828052669893,0.8150424643472398,0.6976008527840155,0.34337522824888156,0.22813831703506704,0.4260246789031437,0.14686477611116042,0.04869627615970081,0.3963383946891355,0.2750791327159354,0.20153149929859593,0.3597533025597774,1.064657933090864,0.3602847772073104,0.3913838110803615,0.15207388931135477,0.36098927559877786,0.31986418648870113,0.07042868804966658,0.04115901842375417,0.07833877689441682,0.49314583603169887,0.2938278854153295,0.540278551278814,0.7348254024421751,0.20928640000917978,0.01483182688858283,0.21359431683863703,0.9484281964790794,0.17991845741956172,0.536075592184056,0.21360524898154484,0.5582399882403161,0.07561571330605273,0.0750745889064602,0.03387285898417872,0.7941224923125484,0.0952744208737853,0.07177554914714894,0.7706116319474509,0.6177915887946223,0.39790115074864313,0.681996616492787,0.10812033377649888,0.46148533723213553,0.25089493112812705,0.4329422378455397,0.49006020214395507,0.06966345039599586,0.014175738624396436,0.4570088579722502,0.14679526126849055,0.085384681808175,0.4525656106632834,0.35532478277783924,0.06830722950278585,0.13462760533427579,0.0797645312356033,0.19120346678098757,0.048771527781843314,0.2996993237853996,0.24641144230846615,0.2720117407269654,0.1234806971713757,0.04880868583017817,0.16312504549753992,0.06506716563025321,0.06706208959324922,0.05188247225234891,0.12394808754569701,0.11920684861643016,0.04469754878719131,0.4458279909435025,0.14469381775437076,0.10683521929228974,0.6926181921063215,0.007587427996582778,0.14654418731737925,0.10139458668531749,0.1117816543939593,0.30328729554453143,0.7359748277295314,0.13987464880099587
