,CTGF,LMO4,ETV1,PCP4,CXCL14,NTNG2,NR4A2,CUX2,RELN,CALB1,B3GALT2,CBLN2,RXFP1,CDH24,GABRA5,CARTPT,OPRK1,RPRM,CACNA1E,FEZF2,HTR2C,PDE1A,VAT1L,GSG1L,C1QL2,MEF2C,ETV1,BHLHE22,SEMA3E,TRIB2,KCNIP2,KITLG,SLITRK1,SCN3B,KCNK2,SYNPR,CCK,FAM3C,ANXA1,FXYD6,RASGRF2,DKK3,RORB,TLE1,GPR6,TOX,PCDH17,POU3F1,BEND5,UNC5D,ATP2B4,CNR1,PCP4,TLE4,CRIM1,CPNE7,TLE4,PENK,SYT6,TH,BCL11B,SATB2,FOXP2,TBR1,CRYM,RAC3,PDYN,KCNA1,SNCG,SYT17,CARTPT,KCNH4,MFGE8,LXN,ADRA2A,AKR1C2,MARCKSL1,CYR61,AKR1C3,NEFH,LMO3,TMEM163,LGALS1,PRSS12,SCN4B,PLXND1,LHX2,COL6A1,NR4A3,GRIK4,SYT2,WFS1,INPP4B,OPN3,ID2,OMA1,IGFBP4,COL24A1,CUX1,FOXO1,S100A10,KCNIP2,KCNIP1,TLE3,SEMA3C,DTX4,MDGA1,SOX5,OTX1,SV2C,LIX1,PCDH20,TPBG,RGS8,IGSF11,LDB2,SYT10,NPY2R,CNTN6,DIAPH3,PPP1R1B,CRYM,SYT9
PASTE_DLPFCS,0.17340644466595687,0.8269905622006037,0.5805891454973339,0.8447961043754141,0.8173823129804876,0.43690076318138665,0.47988256094792564,0.7614432005505384,0.6190802240255756,0.8097382875815408,0.514074026730061,0.7994448402890436,0.518898994071535,-0.01699126562894877,0.7031310378745971,0.6502132275061393,0.17670966039418845,0.2738157159304366,0.6380794236390795,0.4289123094767895,0.13714652054405754,0.529335472252222,0.5059861425677197,0.43622600584692983,0.7303259460387338,0.847524446791719,0.5805891454973339,0.34777454890534254,0.42302186932927954,0.4976345410797072,0.7502867862098755,0.6086028068876258,0.6611960030454634,0.751465719741125,0.15783254723387916,0.7050662483512881,0.8627321067626479,0.7994852923246597,0.29044128918259515,0.7957440093185791,0.762381652615917,0.8334294977741127,0.7123276195663019,0.6161580548295541,0.542714061996986,0.5642071373102481,0.3174818357848221,0.18152311878905045,0.6813081018536901,0.6048482324676824,0.720468557042727,0.6695883254109093,0.8447961043754141,0.2684813541496105,0.6275320712768865,0.2513467383885379,0.2684813541496105,0.43969208658340836,0.053236292004286014,-0.029566508315476896,0.16713334196225704,0.6866137507138904,0.4037014669878225,0.6460407034775982,0.8374306893937469,0.6000167667303328,0.16759377845519055,0.4621247304970439,0.8193058941276955,0.5860079352840329,0.6502132275061393,0.5593716531504019,0.7514893246968187,0.15308731915151802,0.3874738019407206,0.36215132450654025,0.46505722385930853,-0.04210159523128967,0.13707659938849717,0.745109768871785,0.776894528329782,0.5478093156026196,0.7870700949650945,0.29485750224710255,0.6972067792190936,0.5382115738052284,0.6142067296738799,0.4925807885285621,0.028115251961300176,0.18735300398076662,0.6356661845654282,0.5159873623478384,0.24256324301717916,0.68094367684776,0.6858869684479667,0.0704192651341226,0.4841619760152221,0.18671581143228955,0.5716775960634387,0.12147870451272774,0.3254423471473855,0.7502867862098755,0.3717039932060859,0.41913616146316085,0.19661035219239612,0.43970900513587646,0.20695481871129595,0.17913537981541586,0.07400251662842176,0.4696643235905531,0.14071432153244898,0.11600723380027345,0.722566961771137,0.37359578265165333,0.3683885561158311,0.7360660826212292,0.211938026605083,0.13298309601806427,0.16845072270421893,-0.07558675065220462,0.6799081191138342,0.8374306893937469,0.12413940201573159
PASTE_p0_DLPFCS,0.03429612992156384,0.02306890050319353,0.2969657561451068,0.22477043560130583,0.30242103058481556,0.19938862899655316,0.3723867956202754,0.16574146958415187,0.27113628295350173,0.17961112509024071,0.265078250679258,0.08167375420546298,0.331601201333149,0.05311605425221109,0.22403549675937054,0.22355884755504576,0.09390492782678027,0.15786726597615078,0.07621466704406187,0.2119424432242143,0.038397455280600984,0.17268860274620645,0.25128164710609796,0.12163373090137093,0.2668974177319375,0.07861971161572272,0.2969657561451068,0.060940023754181775,0.2685230921846254,0.09229504947607285,0.07210836910619851,0.1286145476133525,0.002242758136069926,0.10213908493951768,0.10170045545652355,0.018872430058183242,0.05262708461600482,0.08205422819111523,0.11562141280993977,0.036256410805903555,0.17722439675137772,0.025899499924650016,0.19564380877771928,0.011562043258624052,0.08417233357949538,0.22068968438310663,0.04530642434951348,0.0484657796280679,0.21214204100069944,0.02467292516623927,0.09360065412923053,0.1439672141228444,0.22477043560130583,0.09760763886542174,0.09684274508224744,0.061443261722779995,0.09760763886542174,0.10752171195885575,-0.020665898908968205,-0.08952555263103061,-0.05861509199957024,0.0025898012458777466,0.19922981337392687,0.20731785924095336,0.11120926151981742,0.09917347985261604,0.011758208455935741,-0.033158993314260865,0.16762178990017884,0.04205968557749618,0.22355884755504576,0.13199409118724506,0.0952177261429396,0.08919099783630617,-0.000416139344916841,0.026937655248487635,0.2067327066346357,0.045452998874156804,0.10419666768003492,0.16930962611343062,0.030972673594448757,0.011878839597410188,0.1394067731042835,0.1580151363922324,0.0819935756324347,0.08592294860375327,0.05921269003256685,0.12296845009162011,-0.012741884266421083,0.0159947829343695,0.14218536790033895,0.08088767649145913,0.10537231140328289,0.05793722277334901,0.08200231686682756,-0.0679443199806965,0.2638094647096119,0.0379642665027426,0.09399919492442672,0.11959171027617473,0.11393787680864835,0.07210836910619851,0.03548382566917396,0.04702419317865994,0.16475515649740907,0.01576320383709179,0.09718508684216144,-0.04967598251678606,0.05869078445086983,0.09559967170726523,0.10621600507666545,-0.11446669145750633,0.11705399921377933,0.17840578620460543,0.16721508437290242,0.06866659694943185,0.050792360891233033,0.06398316238048007,-0.044286760480801275,0.09456684482944665,0.07269244261072978,0.11120926151981742,0.08746701098774928
PASTE2_DLPFCS,0.4470604996815648,0.9080111408177952,0.72841656428769,0.9534620953493568,0.8457277467818086,0.5708842546377578,0.6233301228288376,0.8539052612231334,0.6836826211911031,0.8207963155808152,0.6651556843423129,0.8201827212584707,0.7284511647900992,0.24293262341460822,0.8153678093229777,0.7426265332706654,0.32522942507003,0.5943452076618309,0.6469017186877863,0.6585310573446784,0.2503422213412096,0.687640985015535,0.6575592379376444,0.5672888328816197,0.768784927680588,0.9180040568950059,0.72841656428769,0.44159037247995575,0.6772510344039023,0.6239058416917478,0.7782166341516362,0.6921279431665436,0.7157097036821866,0.8485508991453274,0.18588011214992672,0.7977116919115398,0.9264181518983947,0.8394835315194732,0.5134417429781722,0.8785373817231316,0.8194107180003766,0.9027970860644962,0.8914746484906274,0.6951650941423457,0.703818973022113,0.713035817807079,0.575137385812854,0.2411553795959911,0.721193211622047,0.6599265979221612,0.7158688447392403,0.6494876484069606,0.9534620953493568,0.6769686011132457,0.6771137292911421,0.5363092781680319,0.6769686011132457,0.5447521346434686,0.1285191347708248,0.1311021507673534,0.21421505512993413,0.7209524527413148,0.5629814914600368,0.7951470134101662,0.8777788031240247,0.6867417058346383,0.0849811499513346,0.6126481894527444,0.9045205848270242,0.6201467929384035,0.7426265332706654,0.5872013302331524,0.8181291647202825,0.24229643122302325,0.36023990979478643,0.3033054698450211,0.9044139939718976,0.10880167802255408,0.3025357950068911,0.8612405500342516,0.8336985864682022,0.5264559751975502,0.8631398919721444,0.1434588388844992,0.7676981565327999,0.5878991035641752,0.661518900959583,0.6475600008149759,0.08906876319139306,0.19387773625827123,0.6918445488710363,0.6030828651950926,0.21418186186179974,0.7878643264779024,0.7293388766639826,0.08038381540909992,0.5842636069796253,0.35119748350560337,0.5775388157929816,0.1843626777690607,0.6370303024314447,0.7782166341516362,0.4577504338497655,0.5300361472078398,0.4200418422636621,0.4374450393556241,0.25549857217646316,0.15814347664773418,0.014709226129319436,0.4952872585116146,0.2797392233879304,0.11742084519344159,0.7296144987430467,0.36862967127781215,0.39932303682172554,0.8091741523446624,0.189176095645902,0.25519288178454685,0.40825255447695935,-0.03628614885663156,0.7388132007406704,0.8777788031240247,0.3349102769798762
STAligner_DLPFCS_landmark0,0.5117744700729073,0.7640206094180341,0.4752619585407087,0.7324688063493582,0.6233761776156775,0.44728588784359635,0.35823321669538144,0.7110591731289203,0.45204021503178304,0.7345315422886304,0.690775901231798,0.5601373010051887,0.5540695852537395,0.28092588721890693,0.5816563965391753,0.6189391822787024,0.2542334792792265,0.4497063832034512,0.36813409088503185,0.49504530747498726,0.18470691491318558,0.4628814912673205,0.5055449324736534,0.16016154914117592,0.4506559344415492,0.8348872466679276,0.4752619585407087,0.3107734061831146,0.6738813908137263,0.14213665807104922,0.4479296067375014,0.4453377742768269,0.33084367149754995,0.5612791309681786,0.1994497819642922,0.5686246937536203,0.8047385463559217,0.6572691603107629,0.30139337003896555,0.6086584370437239,0.5629161205880855,0.7309297657605508,0.7194585701842827,0.24566800138393477,0.4754983086068811,0.4383059160132812,0.5054975037202224,0.2285664820061167,0.4944664497172962,0.3327797636749539,0.3961489624592625,0.5151868465114962,0.7324688063493582,0.6652831402605796,0.3542872789168057,0.1982948026601832,0.6652831402605796,0.4881309752682184,0.08615875602497756,0.09392898924725905,0.05699128723398474,0.5470834117390374,0.36750000864242666,0.6777395215512412,0.7479719731547879,0.4680943866468852,0.00042378225229561077,0.23393739259164414,0.7775593498989665,0.20724588759453658,0.6189391822787024,0.2786371209225276,0.588530037775218,0.02216534316680301,0.1356810517188295,0.1523185484196572,0.8343350412291453,0.18302071630976968,0.1567814950236434,0.7333162720425452,0.5291399384220973,0.44555509032206936,0.5478987991401046,0.19986451552792914,0.47974419752747455,0.20436323157237035,0.3640115227736367,0.32702484071474763,0.24402054650766647,0.04273616734859322,0.5603763729499455,0.2037590431720544,0.13125308028131977,0.5545915808305877,0.386434124236654,-0.010929993131764284,0.21606026498656297,0.16613672142285366,0.13797599402300012,0.18165176822903295,0.4340647488523783,0.4479296067375014,0.34198105236510856,0.0774685660421145,0.27256079871680633,0.18793974452835563,0.22006312829878674,-0.1253430998247774,-0.049386483836146654,0.19486342899540351,0.24322230911362475,0.047906441449260255,0.594960522908967,0.205637620278787,0.26562122591103715,0.6388446530943552,0.23230170263926928,0.042388062726076266,0.1323447469778918,0.18210404102131494,0.2876328680238373,0.7479719731547879,0.3185656342941583
STAligner_DLPFCS_landmark1,0.5457355514734856,0.8154324568970752,0.5341591307567205,0.8376903680472028,0.6607241187879882,0.5007146480691032,0.4191155385211262,0.7802763260996081,0.5622344102133932,0.7117040684868093,0.7613662033278948,0.6332969111896385,0.5640027859753324,0.17515322252113716,0.6606792481316801,0.686235178138844,0.2572591532674431,0.4868461636028983,0.520062258024708,0.5542759081059284,0.20003521746451702,0.5404283480879944,0.46799194981609155,0.314194251525766,0.6093301763376117,0.8189648429073862,0.5341591307567205,0.3909555275685384,0.7168140842584982,0.16764445052479574,0.5346395309290475,0.49095313192027534,0.44611267154143835,0.5824459784216108,0.15216473689259083,0.6003236052204153,0.8368098656327626,0.6702036259121796,0.17826965336875478,0.6444518237879135,0.6080598360595999,0.7070565269611103,0.6992103272600891,0.3245424492795666,0.5203690871411291,0.473285073645799,0.5367642892308403,0.17551253493256277,0.4068108700576519,0.4514482476323569,0.33799374211351435,0.5801931678910689,0.8376903680472028,0.6668477679326453,0.3284527012464939,0.38256194581294595,0.6668477679326453,0.6135645114959319,0.12629030637420277,-0.007616898193446631,0.12538087862934136,0.571408435593968,0.35899772352002884,0.7160619193942707,0.7572309892739696,0.39295459320148485,0.03701016500008314,0.26765645071964356,0.805565074305986,0.3524127810958215,0.686235178138844,0.36393983251744944,0.5961156282619976,0.029343648480026217,0.08647771313195983,0.10200909137501359,0.8529590144730674,0.017036490637586176,0.12754892672633092,0.8141948246651641,0.5832160692234056,0.4888312058694056,0.5809583435126512,0.11643398889877887,0.5603279590820357,0.23354812447080567,0.4794068672410201,0.45523180540738456,0.07377470884685121,0.08125408018214303,0.6802608995931941,0.004665819956596849,0.04297891254694658,0.5796405417614937,0.351642694597325,0.05981360999609723,0.35711192116050333,0.13147486073359485,0.23127290323120486,0.3231495364039807,0.5985903501662609,0.5346395309290475,0.2655356594874922,0.1966022534486215,0.21700107927976475,0.14729621130363094,0.21761479861190205,-0.04014489471805363,-0.02920281807407395,0.3598622601863141,0.36533826056083063,0.10871509072932371,0.6244759875518765,0.2743189183889887,0.1793019970282117,0.7071287249895647,-0.006062858949276918,0.20531642109875384,0.13226569834945245,0.058395072104647616,0.3923501208149487,0.7572309892739696,0.339818484324726
STAligner_DLPFCS_landmark2,0.4348502091866196,0.7561850180569692,0.5820961977015965,0.7925131926948145,0.5160509614336073,0.4406615619940177,0.5723688330575871,0.764260595535093,0.48007028677087565,0.7505360128644684,0.6530471344743066,0.6342788741400156,0.6047736924778865,0.1458772936230728,0.6523577286471647,0.72767213717575,0.28246673472868333,0.4465360304451342,0.459445406535229,0.5072087519069534,0.2877250800199598,0.5310647890238681,0.5203481589261104,0.26577265747702933,0.590346072626195,0.8018737991384693,0.5820961977015965,0.3318021546971593,0.7099668271168617,0.36177591779174784,0.5025516606856854,0.35773326012885115,0.36058359798577483,0.4818073270642272,0.07923909632886961,0.5501030611107743,0.7999009068397127,0.7400767048158773,0.14583372030116112,0.5862149721082573,0.6301634273551305,0.7417113007055954,0.7953729538815008,0.34076398353144244,0.5168849647635184,0.5245027033540964,0.5690347462252051,0.19044207838990082,0.6001458435674909,0.4613137178193219,0.43091146153625876,0.6540069060701295,0.7925131926948145,0.7518664266834159,0.35669338216297675,0.29827655173114126,0.7518664266834159,0.5491762779759113,0.11085872115668295,0.08432272942029628,0.18440351060501828,0.46786397477859126,0.5141307342857058,0.7543475781109135,0.7330615064183056,0.3870006405917725,0.14568441750565048,0.3445610256209947,0.8010121317446055,0.35561956644495823,0.72767213717575,0.30439511219896587,0.6029782325260024,0.15679062825970266,0.1320736260732128,0.08155812347343606,0.88871440728755,0.12172197108593681,0.1265062799384218,0.7289956799458858,0.5713042626971344,0.4714011966571891,0.5482344785988048,0.13202713393350204,0.5228865353826357,0.25183940212407224,0.46154189547105967,0.4177520857325178,0.1678454051703386,0.25261977657474394,0.5472298534309985,0.13320244807834677,0.03380028557940281,0.599246763846872,0.3143280911125939,0.0029536813617807127,0.4048089305848788,0.1029173250945082,0.1991843794643918,0.23278288346107592,0.5473956642805865,0.5025516606856854,0.25851666707972676,0.06818761613649348,0.26961671056641395,0.036969986033424905,0.3280850280647956,-0.06440056038759148,-0.006160020865630181,0.2766412949547696,0.3497707390939537,0.06904605209152759,0.6402215661767561,0.056349058923937274,0.18381763711041077,0.620377897893551,0.07559217533546093,0.09629729808821864,0.1234759948640512,0.17568318812017916,0.3869591118910522,0.7330615064183056,0.3333312060374754
STAligner_DLPFCS_landmark3,0.45541210116441433,0.7797651497214778,0.44272568966849013,0.7421593858094434,0.523910546282876,0.43088047403559204,0.5141710086048782,0.7367340287384102,0.49185998831890426,0.6978274181021301,0.6143808944518948,0.641829102878139,0.570801669840988,0.12264284331752197,0.5849146182116742,0.7078636743259769,0.32028795524250114,0.39204945478641146,0.38345910084459667,0.3852084116419328,0.10587970226352851,0.3787173893398051,0.510899458668875,0.16840502167060778,0.5788788190174817,0.7661404445715082,0.44272568966849013,0.2823677191403868,0.6810172746538866,0.26000453194113204,0.5083523156496441,0.4161583690591115,0.3538798073741174,0.5336677221973717,0.14813209552391704,0.59118268711564,0.8513058479814738,0.6525880969134809,0.21198648479530405,0.5936712960540734,0.5719213225771287,0.7826005851862957,0.7108783666042755,0.37810595017290494,0.45800944582285313,0.4540979123437617,0.5262283526226964,0.12026426649679674,0.5168629166472968,0.49889750949057293,0.35888615401024665,0.5849917901565914,0.7421593858094434,0.6595963710459029,0.2547813516531564,0.28343151978907005,0.6595963710459029,0.48096109952906935,0.19101397584638832,0.00012094543676616568,0.06684051960360585,0.48662357886577184,0.34842972378759035,0.6424675978242503,0.7331783405200886,0.4329744417613213,0.08264622287450209,0.35152435737755594,0.7835046184091298,0.2601197563731735,0.7078636743259769,0.335958892545927,0.6060344139096264,0.11696118270477568,0.24125029146780452,0.02126529080827042,0.9033957994847488,0.04567267605397642,0.1273551069794574,0.7011460138456775,0.519308469125011,0.41174286657166714,0.5080538094027114,0.0709648159937138,0.39652047106180793,0.20484424980095672,0.428159555140649,0.21909066076979697,0.13757488724659,0.23090272300550552,0.499356419520849,0.056196605353226826,0.21462335192641116,0.49491168554595627,0.3256109137762045,-0.08103161633709025,0.2668292356878165,0.1744114031105242,0.09381129812882295,0.19830672289552964,0.4818195356592652,0.5083523156496441,0.2399998529748654,0.15690644173115104,0.21496811389351053,-0.00017198323052773634,0.2779786779746258,0.055514088849874084,0.0064623771779822965,0.3079878517766033,0.37236007511996205,0.14013782601275318,0.5526757371326163,0.17782730913048647,0.2751121844456809,0.5940994008817783,0.07785183877050786,0.16296159589255857,0.18241693234319414,0.15606716313919142,0.3719903878816928,0.7331783405200886,0.28146170244511365
SLAT_DLPFCS,0.059584752305854305,0.3491869522759247,0.2745290858358012,0.4959834248757247,0.5496755551509577,0.2522528294619442,0.23131352732123958,0.5872832344394238,0.4963140400140959,0.5003687514064161,0.21674153551536113,0.3631656385902362,0.3465849492705688,-0.05944797020643528,0.22252463639973455,0.48594726858237863,0.044277454730360634,0.18695357265475346,0.2643472373849955,0.3431324421533934,0.05612354968566694,0.18053351960593,0.2647115956987687,0.2779039599605161,0.46355800243525397,0.39089483048021306,0.2745290858358012,0.21702708661419157,0.34887885413553915,0.23413808980906078,0.3328760041660463,0.30154211705386696,0.0963115931890024,0.13297066419708933,0.03409053856970632,0.1513116190871702,0.3865998344542017,0.27892424753113904,0.057577149781807536,0.2310108306349856,0.4401547370935595,0.17061883546963497,0.43700998165043986,0.34529746769745157,0.3429052286818135,0.24772461593134107,-0.0701302178311835,0.0454568862471493,0.33219629985786825,0.2800321779705908,0.06725985069961175,0.3673931518335925,0.4959834248757247,0.17350576902457235,0.1404649238640853,0.024117929104586936,0.17350576902457235,0.32604220720525595,-0.019746311883760605,0.01074609427128049,0.11649577180696495,0.2751966934967664,0.173160923953127,0.18045345695710902,0.39331297827903083,0.27740942855251455,0.06218825191248988,0.11897046687165563,0.4415883264120551,0.2288697693453836,0.48594726858237863,0.24667651479334785,0.3722632375342832,0.02420958858770655,0.08364373391288105,0.059849820960456455,0.4136138035012878,0.009977039067166413,0.03354719235465248,0.3943359167304424,0.15795309759949633,0.2436057854389154,0.2602020600480738,0.05785855539026715,0.2782104034278465,0.13950079620474706,0.31491832939630904,-0.009252366489234406,-0.0644605443623933,0.0037723007060254236,0.3590596394279502,0.07128060833010161,0.07602754468145832,0.29710250411291833,0.004999985717027237,-0.05197381190929637,0.07220486330656085,0.0536263645201526,0.08735505991020254,0.11950856576401407,0.153298545459306,0.3328760041660463,0.1948080272828809,0.08366621855913674,0.025352952272219464,0.12387147821850764,0.15439438941975872,0.07138675458471473,0.1217460460177772,0.2360090089250969,0.14015115728251504,-0.02802385580729,0.36454733586103,0.21740078042006072,0.09851141427861977,0.31072164510248923,0.04585894747375697,0.06711319759822208,0.10156529660284914,-0.026636612800479593,0.21959250497199811,0.39331297827903083,-0.03212000836854463
STalign_DLPFCS,0.10810557062807534,-0.009839807114781692,-0.047907930653139114,-0.04708594553229515,-0.004711900682524366,-0.04496268266564512,-0.07072049361732187,0.09609615848603464,0.02581962979083013,0.046671577869752824,-0.06546951422115543,0.11020592026173054,-0.08684284174037905,-0.02810339837224426,-0.08981456816313049,-0.0005789934827869724,-0.05689118676149189,0.07928492089264905,0.068922248452611,-0.05556716256105296,0.025186110403723077,-0.002983335874151586,-0.03581866972296924,-0.021215597215966515,0.052825300424025036,0.046712630805075483,-0.047907930653139114,-0.035960649044218786,-0.04992562631774212,0.00668465868844179,0.09585524573639798,0.08807899236766871,-0.0022045714629350113,-0.0007933814391553952,-0.008912987880759006,-0.005187551467726759,0.09502170537820327,0.02238704805318927,0.11123543815638,0.0585305235321259,-0.029414484742666752,0.03319196123724355,-0.08759070163621303,0.05123970126076405,-0.0758839420109509,-0.061043617387070294,0.096401614314005,-0.0001267808665687164,-0.005494927201409904,0.0329943781459593,0.048901972063946954,0.04196755751875864,-0.04708594553229515,0.11306394648683116,-0.017261220319488648,0.0502959776614289,0.11306394648683116,0.022348795803217376,0.004031064478422645,0.11104543325585907,0.03664678430775733,0.01232484797459407,-0.060882152794071435,-0.04378030148554912,0.001788122658566384,0.03748778827246545,-0.03662539520777837,0.061955316411583645,-0.0324337472283037,-0.03577616638684298,-0.0005789934827869724,0.014973291527146925,0.1256448886202042,-0.008199923933603021,-0.0035373576063851297,-0.036421375563353085,0.07865492666860542,0.005645242820930623,0.0032622195714094716,-0.03806181823098092,0.05552304031502647,-0.023663731866120776,0.011701240497466162,0.015198270082434706,0.020692122085580956,-0.015244036545899854,0.04652169536678582,0.07540842811975328,0.02237938429704023,-0.017565178426357624,-0.04772051056914938,0.033059537886587,-0.013561754231355696,0.040947239080480285,0.10726885441457289,0.05275188842840795,0.022681072066352028,0.04332849534907418,0.02646142608745611,-0.06407928625807396,0.03909621192447152,0.09585524573639798,0.06403587391693845,0.0748478640737265,0.047155386684615636,-0.07338726747750304,-0.047976364245227554,-0.012260885005208973,0.046321516258051705,0.01196284577196044,0.07359316968870577,0.04286348534567045,0.01704158833712658,-0.011727978103932732,0.06541879973550815,0.07479050976981293,-0.004033059402294222,-0.02658394563702644,-0.07950529709322424,0.035555808249514737,0.14174592036221031,0.001788122658566384,0.028642172451655346
CAST_DLPFCS,0.4494453019602169,0.8865897722429116,0.6842168161130475,0.9407983214033236,0.7737221658769607,0.5313430606798599,0.6443161729854313,0.8600693356523476,0.6156997592078929,0.8170494443414386,0.7378654522028656,0.800567421019053,0.6782542492786329,0.28225793352647116,0.8034771499287018,0.7128418568683434,0.3074395932387665,0.5224512028095737,0.7384689641778862,0.6855464531055563,0.34665222786238087,0.657322517988843,0.5516113524678269,0.5425917923141265,0.7190208056519093,0.9286927860157091,0.6842168161130475,0.4341329760925472,0.6884539530967517,0.5906012350554716,0.7404709575264657,0.673840948115429,0.7298376023791665,0.8389445358072044,0.15131330065311507,0.7434498505063732,0.9167533700070559,0.87568920643041,0.4858836580489572,0.9003513430010969,0.803503794084472,0.8719407041215073,0.8654305010942934,0.7222457051799142,0.6074915830260808,0.7610592480711901,0.5180124378960872,0.23203664079936426,0.6687961076254347,0.5981757232823007,0.6690215671445389,0.7359348273670264,0.9407983214033236,0.6669515246771841,0.6876845282498273,0.49104224928648277,0.6669515246771841,0.6843028546234874,0.08078412433881936,0.17273999438372126,0.17575062757292526,0.7147648641873644,0.5033365750208899,0.772104448145674,0.8780965991352115,0.611414365356303,0.04143652788048604,0.5212282915754806,0.9079561363026499,0.6518927109682114,0.7128418568683434,0.5255724109435911,0.7979271635714899,0.24361807387754442,0.34022307188156375,0.29203365437856127,0.9030663373241068,0.18391204980031603,0.2957975614305394,0.8169081883579953,0.8297690284198586,0.6408565228438311,0.8587084499921559,0.28760580126697055,0.7492211041817504,0.6281905102990054,0.6898101888241454,0.6398706747694101,0.08807882594150045,0.20458689392507975,0.7677094210954669,0.5394259943936984,0.24080518324604946,0.8036426772852118,0.7229614843670275,0.11602666374785403,0.5309031313134446,0.2599680550456483,0.5451903190286819,0.1365100508016072,0.6306915174782695,0.7404709575264657,0.5007904419552563,0.5066142353119326,0.3849885877746102,0.40735852746471407,0.33956820912407276,0.04442599767505891,0.029999727758552728,0.49703134709854463,0.3422598949458333,0.18600207317502795,0.7648764864592622,0.17578863436727354,0.4575157858301453,0.8241581278545335,0.0388633748110624,0.27684055020587844,0.34168641839169117,-0.009634265901344344,0.6479787867715808,0.8780965991352115,0.24007856310602615
