,Average_Accuracy,Average_ROI_Overlap_Layer2,Average_ROI_Overlap_Layer3,Average_ROI_Overlap_Layer4,Average_ROI_Overlap_Layer5,Average_ROI_Overlap_Layer6,Average_ROI_Overlap_WM
PASTE,0.641197408,0.316737927,0.562920911,0.191328527,0.551308792,0.556437645,0.51893672
PASTE_p0,0.415964481,0.180821783,0.339281297,0.090548956,0.323453089,0.408733939,0.253615174
PASTE2,0.861857782,0.406117066,0.762897017,0.373527934,0.807902822,0.790166595,0.815703726
STAligner_landmark0,0.63088032,0.056265347,0.395410589,0.10652016,0.442272814,0.491804886,0.628407293
STAligner_landmark1,0.712614137,0.210762981,0.564650622,0.205043577,0.581594343,0.591247486,0.629660776
STAligner_landmark2,0.717485132,0.089451767,0.515069772,0.194536455,0.546232458,0.563339844,0.63922848
STAligner_landmark3,0.669636713,0.131089401,0.489622991,0.221118324,0.472040443,0.519041833,0.672789668
SLAT,0.512339497,0.115824197,0.361957538,0.159183513,0.379879889,0.39719347,0.41251873
STalign,0.030389364,0,0,0,8.49E-07,0,0.014124007
CAST,0.820848456,0.234199738,0.662493558,0.314084836,0.709178867,0.71289969,0.740278128
STAIR,0.840201291,0.41170545,0.737694398,0.309391445,0.765423728,0.74791214,0.795319127
SPACEL,0.868988535,0.398412461,0.788972415,0.49303124,0.832781188,0.784461515,0.80383151
Spateo_rigid,0.804774424,0.243399566,0.680620959,0.299862408,0.670400275,0.684664434,0.779234829
Spateo_nonrigid,0.795882407,0.239081107,0.664070819,0.305801325,0.667923227,0.690309998,0.795161274
